Entity_normed|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
Dresden|Dresden|https://en.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|393|1.3293315314514328e+16||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|387 das man sie Dresen nennen solle, von den dreyen Seen, die noch heitrig tags vbrig seyn; In den Historien werde dieser ort Nifle oder Nile genant; vnnd habe es das anschien, dal Dresen von den Wenden erbawt worden sese: Er erhalt aber von Petro Dresdensi, so zum zeiten des Hussitenkrieges gelebt, vnnd das Gastung in dulci jubilo, und andere solche gemacht haben: Item wie die Hussiten Anno 1429. Alt Dresen gebu delt uvmd verbrennt: Mauritius habe beide Stæte Alt und Newe Dresden unter ein Regimentform gebracht, also dass sie voneinrck Rath regierten werden, vnnd sich eines Sigils gebraucht ammon: Anno 1580. sesep das Geistliche Consistorium von Miereis auf Dresen gelege worden: Anno 1588. hab man zu Dresen Musysterung gehalten, vnnd zwar in Alt Dresen 423; in der Newen 1045. gesungen.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|(1002.) Hand/und kam endlich zum Beschluss in die Welt-berühmte Haupt-Bestung Dresden/z.M eisen.|False
Altdresden|Alt‑Dresden||51049818|136989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1002|268345501748464.0|Alt-Dresden.|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Die Chur-Sächsische Residenz / eine Jungfräuliche und gleichsam unüberwindliche Festung/in Meißen an der Elbe/in einem rußtigen flachen Flecke gelegen/bestehet in zwey Städten/ als Neu-und Alt-Dresden.|False
Dresdener Tore|Dresdner Tore|https://de.wikipedia.org/wiki/Dresdner_Tore|510594789|135583207|Dresdner Tor|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|1.2550322873464588e+16|Thore|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Bey dieser Fortification sind 3. Thore / in welchen starcke Wacht gehalten/und werden Die Reisende scharff examinirt, und wer nicht absonderlich das rinnen zu thun hat/pass nicht eingelassen.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1005|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Actum Dresden den 12. Martii Anno 1581. Die Kunst-Kammer besteht in Sieben Zimmeren/welche alle mit einer solchen Menge Raritäten und Kunststücken angelijlet, das solches mehr zu verwundern/ als zu beschreiben/oder fast genug zu beschatten/Gestalt sich darüber vielfältig sowohl große Herren als auch andere Stands-Personen und rei sende kluge kunstverfahrne Leute.|False
Altdresden|Alt‑Dresden|https://de.wikipedia.org/wiki/Alt-Dresden|51049818|136989222|Alt‑Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1005|268345501748464.0|Alt-Dres-den|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Noch sind im Rath z. Stadt-Richter/deren einer das Stadt Gericht zu Neu- und der ander zu Alt-Dres-den verwaltet.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1007|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Actum Dresden den 12. Martii Anno 1581. Die Kunst-Kammer besteht in Sieben Zimmeren/welche alle mit einer solchen Menge Raritäten und Kunststücken angelijlet, das solches mehr zu verwundern/ als zu beschreiben/oder fast genug zu beschatten/Gestalt sich darüber vielfältig sowohl große Herren als auch andere Stands-Personen und rei sende kluge kunstverfahrne Leute.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1015|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|XIntro 4 ver- [PAGE_BREAK] (1016.) verwundert/und bekennt /daß derglichen in so fülltrefflicher Menge /weder in Teutschland noch anderen Königreichen be-sammen zu finden/und darf ich nicht umbillig von Dresden sag gen/was die Spanier von ihrem Sevilla sagen/quin non ba vistro Se-villa,non ba vistro Maravilla, das ist: Wer nicht hat Sevilla gesehen barley hat nichts wunderliches gesehen.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1016|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Ich aber sage /wer in Sachsen nicht hat Dresden gesehen/der hat nichts gesehen.|False
Dresden|Dresden|https://de.wikipedia.org/wiki/Dresden|510493286|137381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1031|1.3293315314514328e+16||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Ein schöner Degen/dessen Ge-fäß von ganz Böhmischen Dias-mant in 5. Stücken zusammen ge-flötet/welchen Erz-Herzog Leo-Opold, als er in Dresden geweo-sen/ präsentiert hat.|False
