Entity_normed|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
Dippoldiswalde|Dippoldiswalda|https://de.wikipedia.org/wiki/Dippoldiswalde|508950479|136633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|1.803404234389285e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Darauf redete der Herr von Rosenberg weiter: Hinter Dippoldiswalda liegt auch ein sehr grosses und langes Dorff, Frauen-dorff genannt, welches in das Curfürstliche Amt Dippoldiswalda gehört, auch nach Dippoldiswalda zum Kirche gehe.|False
Reinhardtsgrimma|Reinhardsgrimme||508928546|137560248|Reinhardtsgrimma|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|1.7567268229183114e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Reinhardsgrimme liegt etwas lincker Hand, und ist ein grosses Dorff in das Dipoldiswalder Amt gehörig.|False
Löckwitz|Lockewitz|https://de.wikipedia.org/wiki/Lockwitz|509872806|138062434|Löckwitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|8515686897739851.0||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hierüben lieget ein groffes Dorff, Lockewitz genamdt, welches einer Rackenitzischen Familie zustehen, die Daseibbsten ein schönes Schloß und Garten hat, und solches bewohnet.|False
Räcknitz|Rackenitz|https://de.wikipedia.org/wiki/Räcknitz|510251896|137333866|Räcknitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|2.816595053981787e+16|Rackenitzischen|certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hierüben lieget ein groffes Dorff, Lockewitz genamdt, welches einer Rackenitzischen Familie zustehen, die Daseibbsten ein schönes Schloß und Garten hat, und solches bewohnet.|True
Dohna|Dohna|https://de.wikipedia.org/wiki/Dohna|50955232|138587012|Dohna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000541.tif.original|1357000504409946.0||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Dohna ist ein kleines offenes Stättjen, drey Stouden von Desden gelegtan.|True
Pirna|Pirna|https://de.wikipedia.org/wiki/Pirna|509616923|139386643|Pirna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000542.tif.original|1.7198782687222988e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|So dann folget Laueenstein / ein kleines mit Mauren um- gebenes Berg- Städtgen, eine starker Meile von Pirna gelegen.|True
Pirna|Pirna|https://de.wikipedia.org/wiki/Pirna|509616923|139386643|Pirna|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000544.tif.original|1.7198782687222988e+16||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Besser herunter liegt an den Böhmischen Gränzen ein seines Städten, welches Sebnitz heisset, und unter dem Churfürstlichen Amt zu Pirna steht.|True
Leuben|Leuben|https://de.wikipedia.org/wiki/Leuben_(Dresden)|510106334|138270795|Leuben|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|767925854530887.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Graupzig, liegt gleich dahinter, ist mittelmäßig, hat eben die vorige Herrschaft und geht nacher Leuben zur Kirche.|True
Schleinig|Schleinig||510380217|137007763|Schleinig|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|2.9007445433001516e+16||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Schleinig ist wiederum gar nahe angebauet, ein mittelmäßiges Dorff, eine Stunde von Kommaßsch gelegen.|False
Wilsdruff|Wilskyeruff||510524125|135362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|1405327409626612.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Wilsdruff ist ein kleines in etwas mit Mauern urngebenes Städtgen, dreu Stunden von Dresden gelegen, welches einem herrn von Schöneberg gehöret, der dasselbsten in  einen schönen Schlosse wohnet und die Ober-Gerichte exerciret.|True
Wilsdruff|Wilßdruff|https://de.wikipedia.org/wiki/Wilsdruff|510524125|135362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000471.tif.original|1405327409626612.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Mit diesem Gespräch waren die Passagiers ganz nahe an Grumbach gekommen, und, weil man erwähntes Wilßdruff auf der Straße gar wohl sehen kan, zeigete es ihnen Theophilus, darauf sie gleich ins Dorff ge-langeten.|True
Tharandt|Tharant||509853391|135794907|Tharandt|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|1.3198209070619208e+16||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Gleich hier nüber, fuhre er fort, lieget O g ein [PAGE_BREAK] 454 ein kleines offenes Städtgen, das man nur in'sgemein Tharant heisset, welches aber eisgentlich Granaden geschrieben wird.|True
