element,id,geometry,name,old_name,place,start_date,alt_name,official_name,wikidata,wikipedia,name:etymology:wikidata,check_date,source,source:name,highway,maxspeed,postal_code,surface,leisure,type,bicycle,lit,smoothness,wheelchair
node,7089754007,POINT (13.7414251 51.0582347),Neustädter Markt,,square,,,,Q1981794,de:Neustädter Markt (Dresden),,,,,,,,,,,,,,
relation,19111301,"POLYGON ((13.7380088 51.050145, 13.7381525 51.0501251, 13.7389711 51.0500121, 13.7386953 51.0490727, 13.7385733 51.0490763, 13.7378148 51.0490809, 13.7377852 51.0490811, 13.7376115 51.0490849, 13.7374806 51.0490877, 13.7373807 51.049093, 13.7370762 51.049109, 13.7369946 51.0491133, 13.7368526 51.0491755, 13.7369226 51.0498066, 13.7370598 51.0501271, 13.7371057 51.05027, 13.7371975 51.0502574, 13.7380088 51.050145), (13.7378514 51.0494472, 13.73784 51.0493805, 13.7378523 51.0493797, 13.7378646 51.0493789, 13.7378769 51.049378, 13.7378893 51.0493772, 13.7379016 51.0493764, 13.7379139 51.0493755, 13.7379253 51.0494423, 13.7378883 51.0494447, 13.7378514 51.0494472), (13.7379622 51.0500919, 13.7379508 51.0500252, 13.7380247 51.0500202, 13.7380361 51.0500869, 13.7380238 51.0500877, 13.7379743 51.0500911, 13.7379622 51.0500919))",Altmarkt,,square,,,,Q21161975,de:Altmarkt (Dresden),,,,,pedestrian,,,sett,,multipolygon,yes,yes,good,yes
