Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link|Folder|Digitally Available at|Citable URL|Gender
16|1741|Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben|Johann Andreas Silbermann|1741|Seite(n)94|438|https://digital.slub-dresden.de/werkansicht/dlf/111740/118|016_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male
17|1741|Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben|Richard Pococke|Kein Eintrag vorhanden|Seite(n)48-50|346|https://digital.slub-dresden.de/werkansicht/dlf/111740/68|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|Link|https://reise.isgv.de/logs/Q109944046|male
21|1774|Briefe eines aufmerksamen Reisenden die Musik betreffend|Andreas Meyer|Kein Eintrag vorhanden|Seite(n)109-122|668|https://archive.org/details/BriefeEinesAufmerksamenReisendenDieMusikBetreffendBd.21776/page/n107/mode/2up|021_1774_Briefe_eines_aufmerksamen_Reisenden_die_Musik_betreffend|HAAB|https://reise.isgv.de/logs/Q109944035|male
24|1777|Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland|Martin Sherlock|Kein Eintrag vorhanden|Seite(n)180-183|134|https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34|024_1777_Briefe_eines_jungen_Reisenden_durch_Liefland,_Kurland_und_Deutschland|BSB München|https://reise.isgv.de/logs/Q109944086|male
25|1779|Briefe eines Engländers auf seiner Reise nach Berlin, Dresden, Wien, Haag, Rom, Neapolis und Ferney|Johann Peter Willebrand|Kein Eintrag vorhanden|Seite(n)30-37|360|https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34|025_1779_Briefe_eines_Engländers_auf_seiner_Reise_nach_Berlin,_Dresden,_Wien,_Haag,_Rom,_Neapolis_und_Ferney|SLUB Dresden|https://reise.isgv.de/logs/Q109944112|male
26|1780|Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise|Christian Wilhelm Kindleben|Kein Eintrag vorhanden|Seite(n)90-96|232|https://digital.slub-dresden.de/werkansicht/dlf/66140/102|026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise|BSB München|https://reise.isgv.de/logs/Q109943996|male
27|1780|Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden|Kein Eintrag vorhanden|Kein Eintrag vorhanden|Seite(n)158-162|16|https://www.digitale-sammlungen.de/de/view/bsb11251733?page=162|027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden|ULB Halle|https://reise.isgv.de/logs/Q109944149|male
29|1782|Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen|Johann Carl Conrad Oelrichs|1750|Seite(n)14-30|452|https://digital.slub-dresden.de/werkansicht/dlf/79601/26|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|SLUB Dresden|https://reise.isgv.de/logs/Q109944040|male
30|1782|Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen|Georg Heinrich Hollenberg|Kein Eintrag vorhanden|Seite(n)13-14|255|https://digital.slub-dresden.de/werkansicht/dlf/79601/25|030_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|BSB München|https://reise.isgv.de/logs/Q109943990|male
31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male
32|1782|Reise von Dresden nach Teplitz in Böhmen|Kein Eintrag vorhanden|Kein Eintrag vorhanden|Seite(n)29|136|https://www.digitale-sammlungen.de/de/view/bsb10008768?page=41|032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen|ULB Halle|https://reise.isgv.de/logs/Q109944151|male
34|1783|Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783|Kein Eintrag vorhanden|1783|Seite(n)312-313|38|https://digital.slub-dresden.de/werkansicht/dlf/79016/322|034_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|SLUB Dresden|https://reise.isgv.de/logs/Q109944147|male
35|1783|Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783|Johann Kaspar Riesbeck|Kein Eintrag vorhanden|Seite(n)299-304|412|https://digital.slub-dresden.de/werkansicht/dlf/79016/309|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|BSB München|https://reise.isgv.de/logs/Q109944061|male
