Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Johann Carl Conrad Oelrichs;1782;1750;452;SLUB Dresden;https://reise.isgv.de/logs/Q109944040
Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen;Georg Heinrich Hollenberg;1782;Kein Eintrag vorhanden;255;BSB München;https://reise.isgv.de/logs/Q109943990
Reise von Dresden nach Teplitz in Böhmen;Wilhelm Gottlieb Becker;1782;Kein Eintrag vorhanden;36;BSB München;https://reise.isgv.de/logs/Q109943918
Der durch Preußen und Sachsen reisende Weltbürger;Kein Eintrag vorhanden;1783;Kein Eintrag vorhanden;136;ULB Halle;https://reise.isgv.de/logs/Q109944151
Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Kein Eintrag vorhanden;1783;1783;38;SLUB Dresden;https://reise.isgv.de/logs/Q109944147
Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Kein Eintrag vorhanden;1783;1783;38;SLUB Dresden;https://reise.isgv.de/logs/Q109944147
Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris;Johann Kaspar Riesbeck;1783;Kein Eintrag vorhanden;412;BSB München;https://reise.isgv.de/logs/Q109944061
Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
Geographische Reise durch Deutschland;Gottfried Conrad Böttger;1783;Kein Eintrag vorhanden;106;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943924
Briefe eines Reisenden aus Sachsen;Kein Eintrag vorhanden;1784;Kein Eintrag vorhanden;22;UB Bielefeld;https://reise.isgv.de/logs/Q109944139
Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Marcus Friedrich Schüsler;1784;1783;95;ULB Halle;https://reise.isgv.de/logs/Q109944080
Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Marcus Friedrich Schüsler;1784;1783;95;ULB Halle;https://reise.isgv.de/logs/Q109944080
Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Marcus Friedrich Schüsler;1784;1783;95;ULB Halle;https://reise.isgv.de/logs/Q109944080
Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Marcus Friedrich Schüsler;1784;1783;95;ULB Halle;https://reise.isgv.de/logs/Q109944080
Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784;Joachim Christoph Friedrich Schulz;1785;1784;562;BSB München;https://reise.isgv.de/logs/Q109944075
Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen;Jonas Apelblad;1785;1755;366;SLUB Dresden;https://reise.isgv.de/logs/Q109943912
Auszug einer Reise durch einen Theil von Sachsen;Kein Eintrag vorhanden;1786;1783;236;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944123
Litterarische Reise durch Teutschland;Joachim Christoph Friedrich Schulz;1786;Kein Eintrag vorhanden;100;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944077
Kleine Wanderungen durch Teutschland;Joachim Christoph Friedrich Schulz;1786;Kein Eintrag vorhanden;220;BSB München;https://reise.isgv.de/logs/Q109944076
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Sachsen von einem Reisenden;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
Briefe über Herrnhut und andere Orte der Oberlausitz;Christian Gottlieb Schmidt;1787;Kein Eintrag vorhanden;184;SLUB Dresden;https://reise.isgv.de/logs/Q109944069
Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland;Hester Thrale;1789;Kein Eintrag vorhanden;413;BSB München;https://reise.isgv.de/logs/Q109944043
Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
Briefe einer Curländerinn auf einer Reise durch Deutschland;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
Briefe einer Curländerinn auf einer Reise durch Deutschland;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
Briefe einer Curländerinn auf einer Reise durch Deutschland;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
Briefe einer Curländerinn auf einer Reise durch Deutschland;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
