Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Fußreise durch Sachsen und dessen romantische Schweizergegenden, einen Theil der Anhaltschen, Brandenburg und Braunschweigschen Lande nach Hannover;Christoph Wilhelm Lohmann;1805;1804;287;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944017
Flüchtige Bemerkungen auf einer Reise von St. Petersburg über Moskwa, Grodno, Warschau, Breslau nach Deutschland;Georg Reinbeck;1806;Kein Eintrag vorhanden;324;BSB München;https://reise.isgv.de/logs/Q109944058
Meine Reise durch Deutschland nebst pathognomischen Bemerkungen über meine gemachten Bekanntschaften;Ignaz Kajetan Theodor Ferdinand Arnold;1806;Kein Eintrag vorhanden;340;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943914
Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Peter Scheitlin;1807;1802;326;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944068
Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Peter Scheitlin;1807;1802;326;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944068
Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Peter Scheitlin;1807;1802;326;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944068
Beobachtungen und Fantasien auf einer Reise durch Sachsen und Brandenburg im Herbst 1802;Peter Scheitlin;1807;1802;326;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944068
Briefe über Polen, Österreich, Sachsen, Bayern, Italien, Etrurien, den Kirchenstaat und Neapel, an die Comtesse Constance de S.;Carl Theodor Baron von Uklanski;1808;1807 bis 1808;386;BSB München;https://reise.isgv.de/logs/Q109944102
Pädagogische Reise durch Deutschland. Veranlaßt auf allerhöchsten Befehl der bayrischen Regierung im Jahr 1805;Joseph Röckl;1808;1805;406;BSB München;https://reise.isgv.de/logs/Q109944062
Reise durch Schottland, seine Inseln, Dänemark und einen Theil von Deutschland;James MacDonald;1808;Kein Eintrag vorhanden;662;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944027
Reise durch Schottland, seine Inseln, Dänemark und einen Theil von Deutschland;James MacDonald;1808;Kein Eintrag vorhanden;662;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944027
Reise durch Schottland, seine Inseln, Dänemark und einen Theil von Deutschland;James MacDonald;1808;Kein Eintrag vorhanden;662;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944027
Bemerkungen auf einer Reise von Wittenberg nach Dresden, Pirna u.s.w. im Sommer 1807;Johann Gebhard Maaß;1808;1807;206;SLUB Dresden;https://reise.isgv.de/logs/Q109944022
Bemerkungen auf einer Reise von Wittenberg nach Dresden, Pirna u.s.w. im Sommer 1807;Johann Gebhard Maaß;1808;1807;206;SLUB Dresden;https://reise.isgv.de/logs/Q109944022
Bemerkungen auf einer Reise von Wittenberg nach Dresden, Pirna u.s.w. im Sommer 1807;Johann Gebhard Maaß;1808;1807;206;SLUB Dresden;https://reise.isgv.de/logs/Q109944022
Bemerkungen auf einer Reise von Wittenberg nach Dresden, Pirna u.s.w. im Sommer 1807;Johann Gebhard Maaß;1808;1807;206;SLUB Dresden;https://reise.isgv.de/logs/Q109944022
Bemerkungen auf meiner Reise von Wittenberg aus durch einen Theil des Wittenbergischen Kreises, die Nieder- und Oberlausitz und einen Theil des Meißnischen Kreises;Johann Gebhard Maaß;1808;1806 bis 1807;368;SLUB Dresden;https://reise.isgv.de/logs/Q109944021
Bemerkungen auf meiner Reise von Wittenberg aus durch einen Theil des Wittenbergischen Kreises, die Nieder- und Oberlausitz und einen Theil des Meißnischen Kreises;Johann Gebhard Maaß;1808;1806 bis 1807;368;SLUB Dresden;https://reise.isgv.de/logs/Q109944021
Gedichte und Selbstbiographie, Teil 2: Reise durch einen Theil von Sachsen, Böhmen, Oesterreich und Ungarn;Gottlieb Hiller;1808;Kein Eintrag vorhanden;348;BSB München;https://reise.isgv.de/logs/Q109943988
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder;Johann Christian Fick;1809;Kein Eintrag vorhanden;522;BSB München;https://reise.isgv.de/logs/Q109943953
Reise mit der Armee im Jahre 1809;Otto August Rühle von Lilienstern;1810;1809;273;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944065
Reise mit der Armee im Jahre 1809;Otto August Rühle von Lilienstern;1810;1809;273;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944065
Meine Fußreisen im Jahre 1809 zur Zeit des österreichischen Krieges;Johann Gebhard Maaß;1810;1809;436;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944023
Meine Fußreisen im Jahre 1809 zur Zeit des österreichischen Krieges;Johann Gebhard Maaß;1810;1809;436;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944023
Meine Fußreisen im Jahre 1809 zur Zeit des österreichischen Krieges;Johann Gebhard Maaß;1810;1809;436;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944023
Reise durch Franken Baiern, Oesterreich, Preußen und Sachsen;Christian von Eggers;1810;Kein Eintrag vorhanden;500;SLUB Dresden;https://reise.isgv.de/logs/Q109943946
Durchflug eines Humoristen durch Deutschland, die Schweitz und das südliche Franckreich;Johann Friedrich Raupach;1811;1809 bis 1810;429;BSB München;https://reise.isgv.de/logs/Q109944051
Reise durch einen Theil von Sachsen und Dänemark in den letztverflossenen Jahren;Peter Treschow Hanson;1813;Kein Eintrag vorhanden;314;SLUB Dresden;https://reise.isgv.de/logs/Q109943981
Wanderung von St. Petersburg nach Paris im Jahre 1812 durch die deutsch-russischen Provinzen, durch Preussen, Sachsen, Oestreich, Baiern, Wirtemberg und die Rheinlande;Christian Müller;1814;1812;311;BnF;https://reise.isgv.de/logs/Q109944038
Wanderung von St. Petersburg nach Paris im Jahre 1812 durch die deutsch-russischen Provinzen, durch Preussen, Sachsen, Oestreich, Baiern, Wirtemberg und die Rheinlande;Christian Müller;1814;1812;311;BnF;https://reise.isgv.de/logs/Q109944038
Wanderung von St. Petersburg nach Paris im Jahre 1812 durch die deutsch-russischen Provinzen, durch Preussen, Sachsen, Oestreich, Baiern, Wirtemberg und die Rheinlande;Christian Müller;1814;1812;311;BnF;https://reise.isgv.de/logs/Q109944038
Meine Fußreise mit elf Zöglingen durch einen Theil Schlesiens, Böhmens, Sachsens und der Mark Brandenburg im Frühjahr 1814;August Stange;1815;1814;161;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944092
Vier Erholungs-Wochen oder Reise durch die neupreussischen Markgrafthümer, Nieder- und Oberlausitz;Kein Eintrag vorhanden;1816;Kein Eintrag vorhanden;251;ULB Münster;https://reise.isgv.de/logs/Q109944141
Vier Erholungs-Wochen oder Reise durch die neupreussischen Markgrafthümer, Nieder- und Oberlausitz;Kein Eintrag vorhanden;1816;Kein Eintrag vorhanden;251;ULB Münster;https://reise.isgv.de/logs/Q109944141
Reise durch Teutschland, Holland und Frankreich, die Schweiz und Italien in den Jahren 1797, 1803 und 1804;Pauline Dorothea Frisch;1816;1797 bis 1804;403;BSB München;https://reise.isgv.de/logs/Q109943968
Reise durch Teutschland, Holland und Frankreich, die Schweiz und Italien in den Jahren 1797, 1803 und 1804;Pauline Dorothea Frisch;1816;1797 bis 1804;403;BSB München;https://reise.isgv.de/logs/Q109943968
Auszüge aus der Brieftasche eines Rheinländers, seinen Durchflug durch Sachsen betreffend;Anton von Dziembowski;1816;Kein Eintrag vorhanden;45;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943942
Auszüge aus der Brieftasche eines Rheinländers, seinen Durchflug durch Sachsen betreffend;Anton von Dziembowski;1816;Kein Eintrag vorhanden;45;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943942
Auszüge aus der Brieftasche eines Rheinländers, seinen Durchflug durch Sachsen betreffend;Anton von Dziembowski;1816;Kein Eintrag vorhanden;45;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943942
Auszüge aus der Brieftasche eines Rheinländers, seinen Durchflug durch Sachsen betreffend;Anton von Dziembowski;1816;Kein Eintrag vorhanden;45;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943942
Merkwürdige Reise über Erlangen, Dreßden, Kassel und Fulda nach Hammelburg;Karl Heinrich von Lang;1817;Kein Eintrag vorhanden;87;BSB München;https://reise.isgv.de/logs/Q109944010
Beobachtungen bey meinem Aufenthalt in der Oberlausitz und auf einer Reise über Dresden nach Wittenberg im Jahre 1818;Johann Gebhard Maaß;1819;1818;188;SLUB Dresden;https://reise.isgv.de/logs/Q109944025
Beobachtungen bey meinem Aufenthalt in der Oberlausitz und auf einer Reise über Dresden nach Wittenberg im Jahre 1818;Johann Gebhard Maaß;1819;1818;188;SLUB Dresden;https://reise.isgv.de/logs/Q109944025
Beobachtungen bey meinem Aufenthalt in der Oberlausitz und auf einer Reise über Dresden nach Wittenberg im Jahre 1818;Johann Gebhard Maaß;1819;1818;188;SLUB Dresden;https://reise.isgv.de/logs/Q109944025
Reise durch Holstein, Hannover, Sachsen, Brandenburg, Mecklenburg und Lauenburg im Jahre 1817;Christian Martin David Jaegermann;1820;1817;110;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943993
Reise durch Holstein, Hannover, Sachsen, Brandenburg, Mecklenburg und Lauenburg im Jahre 1817;Christian Martin David Jaegermann;1820;1817;110;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943993
Reisen durch einige Theile von Deutschland, Polen, der Moldau und der Türkei. Ester Theil;Adam Neale;1820;Kein Eintrag vorhanden;178;SUB Göttingen;https://reise.isgv.de/logs/Q105102559
Reisen durch einige Theile von Deutschland, Polen, der Moldau und der Türkei. Ester Theil;Adam Neale;1820;Kein Eintrag vorhanden;178;SUB Göttingen;https://reise.isgv.de/logs/Q105102559
Der deutsche Wanderer;Ernst Heinrich Zober;1822;Kein Eintrag vorhanden;331;BSB München;https://reise.isgv.de/logs/Q109944121
Briefe an deutsche Freunde von einer Reise durch Italien über Sachsen, Böhmen, und Oestreich, 1820 und 1821 geschrieben und als Skizzen zum Gemälde unserer Zeit herausgegeben.;Wilhelm Christian Müller;1824;1820 bis 1821;490;BSB München;https://reise.isgv.de/logs/Q109590352
Reise durch die Königreiche Sachsen und Böhmen in den Jahren 1822 und 1823;Wilhelm Ferdinand Bischoff;1825;1822 bis 1823;243;SLUB Dresden;https://reise.isgv.de/logs/Q109943921
Reise durch die Königreiche Sachsen und Böhmen in den Jahren 1822 und 1823;Wilhelm Ferdinand Bischoff;1825;1822 bis 1823;243;SLUB Dresden;https://reise.isgv.de/logs/Q109943921
Reise durch die Königreiche Sachsen und Böhmen in den Jahren 1822 und 1823;Wilhelm Ferdinand Bischoff;1825;1822 bis 1823;243;SLUB Dresden;https://reise.isgv.de/logs/Q109943921
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Wanderbilder. Gesammelt auf einer Reise von Wien über Dresden, Leipzig, Cassel nach Hamburg;Kein Eintrag vorhanden;1826;Kein Eintrag vorhanden;130;BSB München;https://reise.isgv.de/logs/Q109944167
Reisen nach den vorzüglichsten Hauptstädten von Mittel-Europa. Eine Schilderung der Länder und Städte, ihrer Bewohner, Naturschönheiten, Sehenswürdigkeiten, u.s.w.;Christian Gottfried Daniel Stein;1827;Kein Eintrag vorhanden;368;BSB München;https://reise.isgv.de/logs/Q109944093
Reisen nach den vorzüglichsten Hauptstädten von Mittel-Europa. Eine Schilderung der Länder und Städte, ihrer Bewohner, Naturschönheiten, Sehenswürdigkeiten, u.s.w.;Christian Gottfried Daniel Stein;1827;Kein Eintrag vorhanden;368;BSB München;https://reise.isgv.de/logs/Q109944093
Reise durch Deutschland Ungarn, Holland, Italien, Frankreich, Großbritanien und Irland;Wilhelm von Horn;1831;Kein Eintrag vorhanden;432;BSB München;https://reise.isgv.de/logs/Q109943991
Skizzen einer Reise von Wien über Prag, Teplitz, Dresden, Berlin, Leipzig, Weimar, Frankfurt am Main, Darmstadt, Heidelberg, Mannheim, Karlsruhe, Stuttgart, München, Salzburg, Linz, und von dort nach Wien zurück;Johann Ludwig Deinhardstein;1831;Kein Eintrag vorhanden;192;BSB München;https://reise.isgv.de/logs/Q109943939
Skizzen einer Reise von Wien über Prag, Teplitz, Dresden, Berlin, Leipzig, Weimar, Frankfurt am Main, Darmstadt, Heidelberg, Mannheim, Karlsruhe, Stuttgart, München, Salzburg, Linz, und von dort nach Wien zurück;Johann Ludwig Deinhardstein;1831;Kein Eintrag vorhanden;192;BSB München;https://reise.isgv.de/logs/Q109943939
Philipp Hainhofers Reise-Tagebuch, enthaltend Schilderungen aus Franken, Sachsen, der Mark Brandenburg und Pommern im Jahr 1617;Philipp Hainhofer;1834;1617;160;DB Mecklenburg-Vorpommern;https://reise.isgv.de/logs/Q109943980
Sämmtliche Schriften, hrsg. von dessen Tochter Therese Forster und begleitet mit einer Charakteristik Forster’s von Georg Gottfried Gervinus;Georg Forster;1843;Kein Eintrag vorhanden;241;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943961
Sämmtliche Schriften, hrsg. von dessen Tochter Therese Forster und begleitet mit einer Charakteristik Forster’s von Georg Gottfried Gervinus;Georg Forster;1843;Kein Eintrag vorhanden;241;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943961
Reiseschatten von einem Ausfluge nach dem Harz, der Sächsischen Schweiz im Sommer 1831;Hans Christian Andersen;1847;1831;147;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943910
Reiseschatten von einem Ausfluge nach dem Harz, der Sächsischen Schweiz im Sommer 1831;Hans Christian Andersen;1847;1831;147;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943910
Ein Schwede reist nach Deutschland und Italien. Jugenderinnerungen eines romantischen Dichters und Kunstgelehrten aus den Jahren 1817 bis 1819.;Per Daniel Amadeus Atterbom;1867;1817 bis 1819;518;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943915
Eine Dichterreise vor 81 Jahren;Kein Eintrag vorhanden;1881;1800;2;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944140
Von Dresden nach Bremen im Jahre 1806;Margarethe Oelrichs;1881;1806;36;SuUB Bremen;https://reise.isgv.de/logs/Q109944041
Eine Reise von Dresden nach Warschau vor 80 Jahren;Kein Eintrag vorhanden;1887;1807;22;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944156
Friedrich Karl von Savignys sächsische Studienreise 1799 und 1800;Adolf Stoll;1889;1799 bis 1800;62;ULB Düsseldorf;https://reise.isgv.de/logs/Q109944096
Eine Reise durch Sachsen im Jahre 1802;D. A Lange;1897;1802;624;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944011
Eine Reise durch Sachsen im Jahre 1802;D. A Lange;1897;1802;624;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944011
Reise eines Jenenser Studenten nach Dresden und die Sächsische Schweiz im Jahre 1802;Kein Eintrag vorhanden;1898;1802;7;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944158
Meine Wanderungen durch Sachsen 1809;Theodor Körner;1899;1809;5;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944003
Reise durch Sachsen im Jahre 1813. Briefe Goethes an Christiane;Johann Wolfgang von Goethe;1899;1813;58;SLUB Dresden;https://reise.isgv.de/logs/Q109943974
Reise durch Sachsen im Jahre 1813. Briefe Goethes an Christiane;Johann Wolfgang von Goethe;1899;1813;58;SLUB Dresden;https://reise.isgv.de/logs/Q109943974
Reise durch Sachsen im Jahre 1813. Briefe Goethes an Christiane;Johann Wolfgang von Goethe;1899;1813;58;SLUB Dresden;https://reise.isgv.de/logs/Q109943974
Des Augsburger Patriciers Philipp Hainhofer Reisen nach Innsbruck und Dresden 1629;Philipp Hainhofer;1901;1629;309;Link;https://reise.isgv.de/logs/Q109943979
Chodowiecki in Dresden und Leipzig. Das Reisetagebuch des Künstlers vom 27. Oktober bis 15. November 1773;Daniel Chodowiecki;1916;1773 bis 1773;102;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943935
Boswells Große Reise. Deutschland und die Schweiz 1764;James Boswell;1953;1764;177;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943923
Tagebuch meiner Osterabreise aus Sachsen nach Pohlen, u. Preußen;Johann Gottlieb Fichte;1962;1780 bis 1791;390;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943951
Eine Reise durch Sachsen und Thüringen im Jahre 1588. Aus dem Tagebuch Karls des Älteren von Zerotin;Karl d. Ä. von Zerotin;1967;1588;15;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944119
Herzog von Württemberg, Tagebücher seiner Rayßen in den Jahren 1783-1791;Karl Eugen;1968;1783 bis 1791;401;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943933
Herzog von Württemberg, Tagebücher seiner Rayßen in den Jahren 1783-1791;Karl Eugen;1968;1783 bis 1791;401;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109943933
Reise durch Deutschland und die Schweiz 1815/1816;Eduard Johann Assmuth;1976;1815 bis 1816;260;Link;https://reise.isgv.de/logs/Q109728957
Reise durch Deutschland und die Schweiz 1815/1816;Eduard Johann Assmuth;1976;1815 bis 1816;260;Link;https://reise.isgv.de/logs/Q109728957
Reise-Tagebuch vom Jahre 1822;Alice Schmilinsky;1994;1822;107;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944072
Reise-Tagebuch vom Jahre 1822;Alice Schmilinsky;1994;1822;107;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944072
'Ein Ort zu studieren, der seines gleichen nicht hat' - Leipzig um 1730 in den Tagebüchern des Königsberger Professors Christian Gabriel Fischer;Kein Eintrag vorhanden;2008;1730;Kein Eintrag vorhanden;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944175
'Ein Ort zu studieren, der seines gleichen nicht hat' - Leipzig um 1730 in den Tagebüchern des Königsberger Professors Christian Gabriel Fischer;Kein Eintrag vorhanden;2008;1730;Kein Eintrag vorhanden;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944175
Bericht über eine Reise in das Erzgebirge aus dem Jahre 1557;Kein Eintrag vorhanden;2008;1557;19;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944130
