Index;Year;Title;Pages;Link;Folder;Downloaded
24;1777;Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Seite(n)180-183;https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34;024_1777_Briefe_eines_jungen_Reisenden_durch_Liefland,_Kurland_und_Deutschland;
25;1779;Briefe eines Engländers auf seiner Reise nach Berlin, Dresden, Wien, Haag, Rom, Neapolis und Ferney;Seite(n)30-37;https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34;025_1779_Briefe_eines_Engländers_auf_seiner_Reise_nach_Berlin,_Dresden,_Wien,_Haag,_Rom,_Neapolis_und_Ferney;
26;1780;Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise;Seite(n)90-96;https://digital.slub-dresden.de/werkansicht/dlf/66140/102;026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise;
27;1780;Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden;Seite(n)158-162;https://www.digitale-sammlungen.de/de/view/bsb11251733?page=162;027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden;
28;1781;Nachrichten eines reisenden Passagiers von den wahren Begebenheiten, die sich auf seiner Reise … ereignet;Seite(n)4;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/13112948;028_1781_Nachrichten_eines_reisenden_Passagiers_von_den_wahren_Begebenheiten,_die_sich_auf_seiner_Reise_…_ere;
29;1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)14-30;https://digital.slub-dresden.de/werkansicht/dlf/79601/26;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;
30;1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)13-14;https://digital.slub-dresden.de/werkansicht/dlf/79601/25;030_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;
31;1782;Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen;Seite(n)168-207;https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;
32;1782;Reise von Dresden nach Teplitz in Böhmen;Seite(n)29;https://www.digitale-sammlungen.de/de/view/bsb10008768?page=41;032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen;
33;1783;Der durch Preußen und Sachsen reisende Weltbürger;Seite(n)95-99;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/10349070;033_1783_Der_durch_Preußen_und_Sachsen_reisende_Weltbürger;
34;1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)312-313;https://digital.slub-dresden.de/werkansicht/dlf/79016/322;034_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;
35;1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)299-304;https://digital.slub-dresden.de/werkansicht/dlf/79016/309;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;
36;1783;Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris;Seite(n)6-19;https://www.digitale-sammlungen.de/de/view/bsb10467957?page=6;036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris;
37;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)127-132;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=137;037_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;
38;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)124;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=134;038_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;
40;1784;Briefe eines Reisenden aus Sachsen;Seite(n)922-923;https://ds.ub.uni-bielefeld.de/viewer/image/2238504_004/341/;040_1784_Briefe_eines_Reisenden_aus_Sachsen;
41;1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)29;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/4795626;041_1784_Beobachtungen_über_verschiedene_Gegenstände_auf_einer_Reise_im_Sommer_1783_nach_Pyrmont,_Braunschwei;
