u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,service,lanes,bridge,access,width,ref,junction,tunnel,est_width,area
31471510,7301143494,0,4874493,secondary,30,Lockwitzgrund,False,True,29.82558831715197,"LINESTRING (13.8022562 50.985647, 13.8023263 50.9857634, 13.8024442 50.9858865)",,2,,,,S 183,,,,
67273166,7051699619,0,756953955,primary,50,Bautzner Straße,True,False,7.0022830329602055,"LINESTRING (13.7487477 51.0634409, 13.7486571 51.0634678)",,2,,,,B 6,,,,
76859403,3648736378,0,"[1313871129, 9722489]",residential,50,Bautzner Straße,True,False,63.765236873734636,"LINESTRING (13.7488918 51.062918, 13.7490616 51.0629276, 13.7492014 51.0629223, 13.7498025 51.0629025)",,,,,,,,,,
76859758,6558343218,0,9722489,residential,50,Bautzner Straße,True,False,24.830025979988456,"LINESTRING (13.7507297 51.0628838, 13.7510848 51.0628761)",,,,,,,,,,
76859759,4128233139,0,698337541,primary,50,Bautzner Straße,False,False,29.312980540579883,"LINESTRING (13.7507259 51.0631219, 13.7511367 51.0630686)",,4,,,,B 6,,,,
76859759,7417943542,0,383734605,primary,50,Bautzner Straße,False,True,54.90273595082365,"LINESTRING (13.7507259 51.0631219, 13.7502747 51.0631805, 13.7499565 51.0632218)",,4,,,,B 6,,,,
85890601,5240901760,0,"[91767584, 1087196386]",secondary,50,Lockwitzgrund,False,True,201.86880475723257,"LINESTRING (13.796032 50.9819687, 13.7962133 50.9821698, 13.7964854 50.9824717, 13.7965822 50.9826124, 13.7966457 50.9827047, 13.7967617 50.9828618, 13.7969206 50.9830028, 13.7970849 50.9831172, 13.7973122 50.9832408, 13.7974985 50.9833364, 13.7976877 50.9834145)",,2,,,,S 183,,,,
85890601,3459763910,0,"[1087196387, 91796021, 91796022, 208772475]",secondary,"['30', '50']",Lockwitzgrund,False,False,511.6405728577613,"LINESTRING (13.796032 50.9819687, 13.7959271 50.9818257, 13.7954514 50.9811879, 13.7953615 50.9810325, 13.7953075 50.9808679, 13.7952864 50.9807522, 13.7952824 50.9805521, 13.7953079 50.980319, 13.7954372 50.9795553, 13.7955135 50.9789988, 13.7955622 50.9787563, 13.795556 50.9786329, 13.7954876 50.9784741, 13.7953897 50.9783703, 13.7952692 50.9783071, 13.7950435 50.9782106, 13.7941764 50.9779494)",,2,,,,S 183,,,,
86644275,31471510,0,4874493,secondary,30,Lockwitzgrund,False,True,120.8651612184334,"LINESTRING (13.80205 50.9845852, 13.8021437 50.9846883, 13.8022013 50.9847906, 13.8022154 50.9849725, 13.8022077 50.9852392, 13.8022046 50.9854502, 13.8022228 50.985554, 13.8022562 50.985647)",,2,,,,S 183,,,,
86644275,8935694647,0,"[91767581, 141328886]",secondary,30,Lockwitzgrund,False,False,90.15305386591626,"LINESTRING (13.80205 50.9845852, 13.8019284 50.9845246, 13.8017863 50.9844721, 13.8015691 50.9843902, 13.8013935 50.984332, 13.8012679 50.9842956, 13.8009101 50.9842186)",,2,,,,S 183,,,,
92307034,3459501214,0,91767581,secondary,,Lockwitzgrund,False,False,8.253385499762533,"LINESTRING (13.8002566 50.9840779, 13.8001457 50.9840527)",,2,,,,S 183,,,,
92307034,8935694647,0,91767581,secondary,,Lockwitzgrund,False,True,48.34717944808003,"LINESTRING (13.8002566 50.9840779, 13.8009101 50.9842186)",,2,,,,S 183,,,,
169374355,28799160,0,384397128,primary,50,Bautzner Straße,False,False,14.271722027820566,"LINESTRING (13.7905978 51.0670694, 13.7903983 51.0670969)",,4,,,,B 6,,,,
169374355,31237276,0,384397128,primary,50,Bautzner Straße,False,True,276.18096709091856,"LINESTRING (13.7905978 51.0670694, 13.7918074 51.0668912, 13.793405 51.0666634, 13.793702 51.0666174, 13.7940165 51.0665593, 13.7942814 51.0665049, 13.7944303 51.0664691)",,4,,,,B 6,,,,
221935639,2510607353,0,350179565,pedestrian,,Brühlsche Terrasse,False,True,10.643874188948386,"LINESTRING (13.7391643 51.0535871, 13.7392641 51.0535148)",,,,,,,,,,
221935639,2510607403,0,683443086,pedestrian,,Brühlsche Terrasse,False,True,33.17509569573597,"LINESTRING (13.7391643 51.0535871, 13.7393152 51.0536718, 13.7395813 51.0536354)",,,,,,,,,,
248967422,334016350,0,313559084,tertiary,50,Wilsdruffer Straße,True,False,102.61325050352738,"LINESTRING (13.7423036 51.0496374, 13.7433555 51.0494831, 13.743606 51.049433, 13.7437265 51.0494123)",,2,,,,,,,,
253894583,449106844,0,710529275,primary,50,Bautzner Straße,False,False,64.51880839650195,"LINESTRING (13.7614164 51.0639704, 13.7616264 51.0640157, 13.7616703 51.0640256, 13.7617142 51.0640352, 13.7622803 51.0641748)",,,,,,B 6,,,,
253894583,2198154299,0,1413564142,primary,50,Bautzner Straße,False,True,41.506505804820506,"LINESTRING (13.7614164 51.0639704, 13.7609941 51.0638802, 13.7608523 51.0638537)",,2,,,,B 6,,,,
257891398,3459501218,0,91767584,secondary,50,Lockwitzgrund,False,False,54.810211774558795,"LINESTRING (13.7990511 50.983784, 13.7988455 50.9837326, 13.7983194 50.9836086)",,2,,,,S 183,,,,
257891398,3459501214,0,91767584,secondary,50,Lockwitzgrund,False,True,82.24295888760244,"LINESTRING (13.7990511 50.983784, 13.7993722 50.9838625, 13.8001457 50.9840527)",,2,,,,S 183,,,,
277089751,277089752,0,50823381,service,,Lockwitzgrund,False,False,24.710953791911876,"LINESTRING (13.8001618 50.9832204, 13.7998088 50.9832201)",,,,,,,,,,
