element,id,geometry,contact:email,contact:phone,contact:website,ele,name,name:ar,name:ba,name:be,name:bg,name:ce,name:cs,name:de,name:el,name:eo,name:es,name:fa,name:fr,name:fur,name:he,name:hsb,name:hu,name:it,name:ja,name:kk,name:ko,name:ky,name:la,name:lt,name:lv,name:mk,name:os,name:pl,name:ro,name:ru,name:sk,name:sr,name:szl,name:th,name:tt,name:uk,name:ur,name:zh,name:zh-Hans,name:zh-Hant,openGeoDB:loc_id,place,population,wikidata,wikipedia,is_in,openGeoDB:auto_update,openGeoDB:community_identification_number,openGeoDB:is_in,openGeoDB:is_in_loc_id,openGeoDB:layer,openGeoDB:license_plate_code,openGeoDB:name,openGeoDB:postal_codes,openGeoDB:sort_name,openGeoDB:version,opengeodb:lat,opengeodb:lon,amenity,bin,fee,vending,postal_code,note,name:azb,old_name:fr,name:dsb,name:hr,name:sl,population:date,website,boundary,name:prefix,openGeoDB:location,alt_name,name:az-Arab,name:en,name:kk-Arab,name:pnb,official_name,official_name:de,official_name:es,official_name:fr,old_name,ref,alt_name:eo,name:br,name:fi,name:ia,name:io,name:is,name:nl,name:pt,name:sh,name:vo,official_name:ar,official_name:el,fixme:wikipedia,description,source,architect,image,start_date,admin_level,border_type,lit,type,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,de:amtlicher_gemeindeschluessel,de:regionalschluessel,admin_title,admin_title:de,de:place,license_plate_code,official_name:hsb,ref:nuts:3,ISO3166-2,alt_name:pt,coat_of_arms,flag,name:ca,name:fy,name:sv,name:tzl,official_name:en,ref:nuts,ref:nuts:1,timezone,alt_name:de,alt_name:fr,landuse
node,252956093,POINT (13.8713801 51.0126628),,,,,Pillnitz,,,,,,,,,,,,,,,Bělnicy,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8946,de:Pillnitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,364701963,POINT (13.6776905 51.0843554),,,,,Kaditz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q1720959,de:Kaditz,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,364702242,POINT (13.6931327 51.0713098),,,,,Übigau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8955,de:Übigau,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,895744229,POINT (13.8154546 51.0555235),,,,,Loschwitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8939,de:Loschwitz,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,895744245,POINT (13.8226878 51.0641586),,,,,Weißer Hirsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8956,de:Weißer Hirsch,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,895744259,POINT (13.8511298 51.0625884),,,,,Bühlau,,,,,,,,,,,,,,,Běła,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q13427151,de:Bühlau (Dresden),"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biehla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,896347440,POINT (13.7338551 51.0438327),,,,,Seevorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8952,de:Seevorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,896347481,POINT (13.7255823 51.0511677),,,,,Wilsdruffer Vorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q1286088,de:Wilsdruffer Vorstadt,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,896347509,POINT (13.7333866 51.0251896),,,,,Räcknitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q1252764,de:Räcknitz,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,896347513,POINT (13.7495667 51.0489849),,,,,Pirnaische Vorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suburb,,Q8947,de:Pirnaische Vorstadt,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10575325057,POINT (13.6641356 51.0539932),,,,,Burgstädtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neighbourhood,,Q1016036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
