|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
0|Dresdais|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male|23] Iter Egra, Dresdais etjumpare exam不是 replaces the verb et intervals itinera Egram exam Iter Argentor.|True
1|Dresdam|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|299|0.13293315314514328||certain|3|1604|Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania|Friedrich I. von Württemberg|1580|Seite(n)155-156|29|https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1|003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A|HAB Wolfenbüttel|https://reise.isgv.de/logs/Q109943966|male|Dresdam, Dantiscum & & Montem Region.|True
3|Schloss und Vestung|https://de.wikipedia.org/wiki/Schloss_Dresden|51.1675274|13.6795084|Schloss Moritzburg|ok|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|20|13.63459838511828|Schloß und Vestung|certain|4|1606|Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon|Gaspar Ens|Kein Eintrag vorhanden|Seite(n)12|320|https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19|004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._|BSB München|https://reise.isgv.de/logs/Q109943950|male|Den 19. Mai kamen Ihre F. G. zu Dresden an/ zogen in der Herberg zum gulden Ring ein/ verharreten auch bis auff den 25. In solcher Zeit dann Ihre F. G. die Statt/ Schloß und Vestung/ Rustkammer/ Zeug- häuser/ Marßall/ Garten/ sammt anderen singularis- ten besehn/ Wurden auch von dem ChurFürsten Au- gusto Fürstlich empfangen.|False
5|DRESSDAM|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|285|0.13293315314514328||certain|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male|285 Aliud iter FRANCOFVRTV M ad Oderam, per FREIBERGAM, DRESSDAM, indeque FRANCOFVRTVM ad Oderam, & COSTLINVM.|True
6|Raddeburg|https://de.wikipedia.org/wiki/Radeburg|51.1151413|13.9175257|Radeberg|ok|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|287|14.502144229515732||certain|5|1609|Deliciarum Germaniae, Tam Superioris Quam Inferioris|Martin Zeiller|Kein Eintrag vorhanden|Seite(n)285-287|489|https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303|005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris|Link|https://reise.isgv.de/logs/Q109944118|male|O. Raddeburg 2. O. Ortrandt 2. O. Rulant 2. Serfsteberg 1. Salgast 2. O. Finsterwald 2: O. Sonnevald 1. O. Calau 2. O. Luben 2. Biberstorff 1. Auffm Sand 14. Zurf fehre ½. Beskoff 1. Mertensdorff 1. Mulrase ]} O. Fräckfort an der Oder 2. Simul 24. FRANCFOR医疗机构NDIA ad Oderam vulgo Francfor医疗机构NDIA ad Oderam vulgo Francoft fand der더 Oder/ftu excellit.|True
7|Alt Dresen|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.049818|13.6989222|Alt Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|2.68345501748464||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|387 das man sie Dresen nennen solle, von den dreyen Seen, die noch heitrig tags vbrig seyn; In den Historien werde dieser ort Nifle oder Nile genant; vnnd habe es das anschien, dal Dresen von den Wenden erbawt worden sese: Er erhalt aber von Petro Dresdensi, so zum zeiten des Hussitenkrieges gelebt, vnnd das Gastung in dulci jubilo, und andere solche gemacht haben: Item wie die Hussiten Anno 1429. Alt Dresen gebu delt uvmd verbrennt: Mauritius habe beide Stæte Alt und Newe Dresden unter ein Regimentform gebracht, also dass sie voneinrck Rath regierten werden, vnnd sich eines Sigils gebraucht ammon: Anno 1580. sesep das Geistliche Consistorium von Miereis auf Dresen gelege worden: Anno 1588. hab man zu Dresen Musysterung gehalten, vnnd zwar in Alt Dresen 423; in der Newen 1045. gesungen.|False
8|Newe Dresden|https://de.wikipedia.org/wiki/Neustadt_(Dresden)|51.0481142|13.7401486|Neues Dresden|ok|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|387|0.3228827949294987||certain|6|1632|Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande|Edward Browne|Kein Eintrag vorhanden|Seite(n)386-393|299|https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up|006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943927|male|387 das man sie Dresen nennen solle, von den dreyen Seen, die noch heitrig tags vbrig seyn; In den Historien werde dieser ort Nifle oder Nile genant; vnnd habe es das anschien, dal Dresen von den Wenden erbawt worden sese: Er erhalt aber von Petro Dresdensi, so zum zeiten des Hussitenkrieges gelebt, vnnd das Gastung in dulci jubilo, und andere solche gemacht haben: Item wie die Hussiten Anno 1429. Alt Dresen gebu delt uvmd verbrennt: Mauritius habe beide Stæte Alt und Newe Dresden unter ein Regimentform gebracht, also dass sie voneinrck Rath regierten werden, vnnd sich eines Sigils gebraucht ammon: Anno 1580. sesep das Geistliche Consistorium von Miereis auf Dresen gelege worden: Anno 1588. hab man zu Dresen Musysterung gehalten, vnnd zwar in Alt Dresen 423; in der Newen 1045. gesungen.|False
13|Dresdner Tore|https://de.wikipedia.org/wiki/Dresdner_Tore|51.0594789|13.5583207|Dresdner Tor|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1004|12.550322873464589|Thore|certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Bey dieser Fortification sind 3. Thore / in welchen starcke Wacht gehalten/und werden Die Reisende scharff examinirt, und wer nicht absonderlich das rinnen zu thun hat/pass nicht eingelassen.|False
24|Kirche zu unsrer lieben Frauen|https://en.wikipedia.org/wiki/Frauenkirche_(Dresden)|51.051957|13.7416198|Frauenkirche Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1056|0.34806721038579985||certain|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male|Die Kirche zu unsrer lieben Frauen/ist eine aus den ältesten in Sachsen/sie ist Anno 1477. erw weitert worden.|False
30|Possendorf|https://de.wikipedia.org/wiki/Possendorf_(Freital)|50.9671664|13.7115177|Possendorf|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|9.429312302737381|Possendorff|certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hine ter Possendorff ist ein stärcker Wald, an wel-chen viele Dörffer liegen, die ich unmöglich alle nennen kan.|False
